,purchase_date,item_name,item_price,customer_name
0,2019-06-13 18:02:00,상품A,100.0,김가온
952,2019-02-12 06:06:00,상품A,100.0,김태경
957,2019-07-19 14:12:00,상품A,,김서윤
1009,2019-06-12 10:08:00,상품A,100.0,김지용
1036,2019-07-26 15:06:00,상품A,100.0,김연준
1038,2019-04-01 17:58:00,상품A,100.0,김도하
1053,2019-02-26 03:21:00,상품A,100.0,김현우
361,2019-01-21 03:33:00,상품A,,김진우
360,2019-05-02 01:45:00,상품A,100.0,김지호
1111,2019-02-28 20:29:00,상품A,100.0,김현수
347,2019-03-10 06:42:00,상품A,100.0,김태우
346,2019-02-09 18:52:00,상품A,100.0,김은혁
1160,2019-01-18 04:12:00,상품A,100.0,김이준
1189,2019-07-16 05:19:00,상품A,100.0,김현석
1214,2019-06-20 05:44:00,상품A,100.0,김윤성
1217,2019-01-28 17:04:00,상품A,100.0,김하율
1228,2019-01-27 06:10:00,상품A,100.0,김재민
1260,2019-01-15 22:59:00,상품A,,김하진
602,2019-04-07 03:51:00,상품A,100.0,김성현
577,2019-01-29 17:16:00,상품A,100.0,김하민
568,2019-04-07 09:37:00,상품A,100.0,김가온
473,2019-04-25 16:55:00,상품A,100.0,김지오
485,2019-07-14 09:55:00,상품A,100.0,김재현
877,2019-05-30 15:35:00,상품A,100.0,김동건
900,2019-02-08 18:40:00,상품A,100.0,김재희
2387,2019-03-09 22:29:00,상품A,100.0,김우진
395,2019-05-24 10:19:00,상품A,100.0,김준성
1340,2019-06-23 15:15:00,상품A,100.0,김상현
1320,2019-06-18 01:55:00,상품A,100.0,김준영
1288,2019-03-02 12:51:00,상품A,100.0,김지환
1277,2019-05-05 13:12:00,상품A,100.0,김현우
1273,2019-05-28 17:36:00,상품A,100.0,김영준
878,2019-05-17 12:32:00,상품A,100.0,김연호
612,2019-02-07 15:50:00,상품A,100.0,김은율
2395,2019-06-21 00:01:00,상품A,100.0,김주호
2598,2019-01-11 11:34:00,상품A,100.0,김윤호
2897,2019-05-20 14:05:00,상품A,100.0,김지안
2886,2019-04-25 17:15:00,상품A,100.0,김강현
2,2019-05-11 19:42:00,상품A,,김유찬
2636,2019-03-09 14:20:00,상품A,,김우찬
2609,2019-01-13 11:50:00,상품A,100.0,김시율
2782,2019-06-24 02:56:00,상품A,100.0,김현진
2821,2019-06-21 11:09:00,상품A,,김승훈
2764,2019-06-05 02:25:00,상품A,100.0,김현성
2753,2019-06-04 01:15:00,상품A,100.0,김이안
2951,2019-05-06 02:24:00,상품A,100.0,김주혁
4,2019-04-22 03:09:00,상품A,,김강현
2431,2019-05-20 03:01:00,상품A,100.0,김우주
2504,2019-07-10 23:41:00,상품A,100.0,김현서
9,2019-01-28 10:47:00,상품A,100.0,김태윤
2493,2019-05-31 22:33:00,상품A,100.0,김민찬
2868,2019-05-29 08:42:00,상품A,100.0,김재훈
2464,2019-05-30 17:56:00,상품A,100.0,김준우
35,2019-01-12 03:26:00,상품A,100.0,김건희
2875,2019-06-03 17:33:00,상품A,100.0,김서진
2669,2019-03-05 20:21:00,상품A,,김주혁
2682,2019-03-12 02:04:00,상품A,100.0,김서윤
6,2019-05-18 19:16:00,상품A,,김재준
2849,2019-04-07 12:34:00,상품A,100.0,김예찬
